project,location,status,cost,notes
Bar-Boljare motorway,Montenegro,Under Construction,"$3,000,000,000","Construction began on  11 May 2015; The length of the route of the highway is 40.871 km, and national road standards of Montenegro are adopted, with reference to the European specifications as well. These construction standards will be applied for the two-way four-lane highway, with the speed of 100 km/h according to the design, and the construction period of 4 years. The highway stretches from south to the north across the mountains. In technical terms it is very demanding, and the construction is very challenging. Bridges and tunnels make up to about 60% of the entire route. In recent years, it is the largest infrastructure project in Montenegro, and the implementation of the project is very challenging."
Barangaroo,"Sydney, New South Wales",Under Construction,"$6,000,000,000",Entire project to be completed by 2023
Bataan–Cavite Interlink Bridge,BataanCavite,Approved,"$3,750,000,000",A 32 km (20 mi) bridge over the Manila Bay that will connect Central and Southern Luzon.[76]
Battersea Power Station,"London, England",Under Construction,"$17,600,000,000",Entire project to be completed by 2025.
Battery Park City,"Manhattan, New York City, New York",Completed,"$1,400,000,000+","Mainly a residential 92-acre (37 ha) planned community at the southwestern tip of the island of Manhattan in New York City, New York, United States, more than  1⁄3 of which is parkland.[159]"
Beijing Daxing International Airport,"Daxing District, Beijing & Guangyang District, Langfang, Hebei Province",Completed,"$17,000,000,000",Completed and Opened November 2019.
Belgrade Metro,Serbia,In Planing,"around $5,000,000,000","Belgrade Metro is a project in planing for over a centiry,but recently,new progress has been made in planing,and construction is set to start by end of 2021.It would have 43 stations and 2 lines,and would cost around  $5,000,000,000.Line 1:Route:Železnik ↔ Mirijevo,Length:21.3 km (13.2 mi),23 staions.Line 2:Route:Zemun railway station ↔ Mirijevo,Length:19.2 km (11.9 mi),20 stations.It would be build by French and many other companies."
Belgrade Metro,Belgrade,In Planning,"around $5,000,000,000","Belgrade Metro is a project in planning for over a century,but recently,new progress has been made in planing,and construction is set to start by end of 2021.It would have 43 stations and 2 lines,and would cost around  $5,000,000,000.Line 1:Route:Železnik ↔ Mirijevo,Length:21.3 km (13.2 mi),23 staions.Line 2:Route:Zemun railway station ↔ Mirijevo,Length:19.2 km (11.9 mi),20 stations.It would be build by French and many other companies."
Belgrade Waterfront,Serbia,Under Construction,"$3,500,000,000","Belgrade Waterfront is an urban renewal development project headed by the Government of Serbia aimed at improving Belgrade's cityscape and economy by revitalizing the Sava amphitheater, a neglected stretch of land on the right bank of the Sava river, between the Belgrade Fair and Branko's bridge. It was started in 2014 with the reconstruction of the Belgrade Cooperative building, which was finished in June of the same year. It is the second largest mixed use complex under construction in Europe, just after Minsk Mir (Minsk World) worth 3.5 billion dollars. 6.000 apartments, seven hotels including W Hotel and St Regis, 2000 offices, the largest shopping mall in South East Europe and public buildings are planned for the area.Its building new skyscrapers,apartments,Buildings,Jobs,..."
Belgrade Waterfront,Serbia,Under Construction,"$3,500,000,000","Belgrade Waterfront is an urban renewal development project headed by the Government of Serbia aimed at improving Belgrade's cityscape and economy by revitalizing the Sava amphitheater, a neglected stretch of land on the right bank of the Sava river, between the Belgrade Fair and Branko's bridge. It was started in 2014 with the reconstruction of the Belgrade Cooperative building, which was finished in June of the same year. It is the second-largest mixed-use complex under construction in Europe, just after Minsk Mir (Minsk World) worth 3.5 billion dollars. 6.000 apartments, seven hotels including W Hotel and St Regis, 2000 offices, the largest shopping mall in southeast Europe and public buildings are planned for the area.  Its building new skyscrapers, apartments, Buildings, Jobs,..."
Belgrade-Budapest Railway,Belgrade-Novi Sad-Subotica,Under Construction,"$3,000,000,000","Budapest–Belgrade railway is a railway project under construction, at end, people could go from Budapest to Belgrade, and vice versa 200km\h by fast railway.  Currently, only Serbia is building Belgrade-Novi Sad Line, which would be completed by October 2021.  By 2023, the whole Belgrade-Subotica line would be finished.  Projects on both sides would cost around $5,000,000,000.  The Budapest–Belgrade railway is also a part, and the first stage, of the planned  Budapest–Belgrade–Skopje–Athens Railway international connection in Central and Southeast Europe, a Chinese-CEE ""hallmark"" project of Beijing's Belt and Road initiative, connecting the China-run Piraeus port in Greece with the ""heart"" of Europe.  The expansion of this project to Nis is under Planing, which would add new $800,000,000 into this project, and a new 120-160km\h Railway in Nis-Presevo and Nis-Dimitrovgrad both costing around $200,000,000, and are set to start construction by 2021 and end it by end of 2021 or 2022.  It would be built by Russian and Chinese companies."
Bengaluru-Mumbia Economic Corridor,"Area from Bengaluru to Mumbai, India",Proposed,,
Bharatmala,Multiple States in India,Under construction,"$11,000,000,000+","Bharatmala Pariyojana (Project) is a centrally-sponsored and funded Road and Highways project of the Government of India.[70] The project will build highways from Gujarat, Rajasthan, Punjab, Haryana and then cover the entire string of Himalayan states – Jammu and Kashmir, Himachal Pradesh, Uttarakhand – and then portions of borders of Uttar Pradesh and Bihar alongside Terai, and move to West Bengal, Sikkim, Assam, Arunachal Pradesh, and right up to the Indo-Myanmar border in Manipur and Mizoram.[70]"
Big City Plan,"Birmingham, England",Under Construction,"$17,000,000,000",Entire project to be completed sometime in the 2030s.
Big Dig,"Boston, Massachusetts",Completed,"$14,600,000,000",Estimated to cost $24.3 billion after interest.
Bilbao Renovation Project,Bilbao,Completed,"In the 1990s, the city began a de-industrialisation process, which radically changed its image. After closing several factories and decontaminating the city's river, several mega projects were built. A whole new airport, designed by Spanish world-famous architect Santiago Calatrava, a metro system designed by British Lord Norman Foster, a recovery of the city's old fashioned tram network changed the city's public transport system. The Iberdrola Tower, which is Bilbao's tallest building, the Alhondiga, the Zubizuri bridge and several other significant buildings changed the city center's polluted past. The whole renovation process started because of the construction of The Guggemheim Museum Of Bilbao, the city's landmark and main museum.",
Blanka tunnel complex,Prague,Completed,"$1,970,000,000",The longest city tunnel in Europe at 5.5 km. The three continuous tunnels improve traffic in the northern part of Prague as well as reducing the load on the main transit route through the city center.
Bogota Urban Renewal,Bogota,Under Development,"$50,000,000,000","One of the most ambitious projects in Latin American history. Includes building over 60 skyscrapers, 500 highrises, 3 new CBDs, a subway system, and a smart city near Usaquén. The project is meant to establish Bogota as the financial, industrial, and technological capital of Latin America."
Bondha Island City,Karachi,Under Development,"$20,000,000,000","Owned by Malik Riaz, Bundal Island City (also known as Bahria Town Island City). In 2013, Malik Riaz signed a 20bn dollar agreement with Thomas Kramer to build Bodha Island City. Development of this project will soon start on Bundal Island in southern Karachi. The city will house millions of people as well as provide 2.5 million jobs for people of Karachi. the city will be connected to mainland Karachi by a bridge. The stylish skyscrapers of Bodha Island City will provide a whole new look for the megacity of Karachi!"
Bonifacio Global City,Taguig,Completed,"Previously occupied by the Philippine Army headquarters, it is currently one of Metro Manila's main central business districts.",
Brasília,Brasília,Completed,"$21,900,000,000","At the close of the 20th century, Brasília was the largest city in the world which had not existed at the beginning of the century.[163]  Construction cost for Brasília in 1957 was about $2.5 Billion.[164]"
Brickell City Centre,"Miami, Florida",Construction in Progress,"$1,050,000,000","A shopping and mixed-use project that will span up to give blocks in the Brickell district of Downtown Miami. Currently consists of three towers each just over 500 feet and is proposed to add One Brickell City Centre, an 80-story, 1049 ft skyscraper."
Brickell Key,"Claughton Island, Miami, Florida",Completed,"$2,000,000,000+","A man-made island called Claughton Island[158] off the mainland Brickell neighborhood of Miami, Florida."
BSD City,Greater Jakarta,Completed,"An area half the size of Paris, BSD City encompasses an area of about 6000 hectares. It is the most ambitious urban planning scheme in Indonesia to combine housing, business and commercial properties.",
Budapest–Belgrade railway,"Serbia,Hungary",Under Construction,"around $5,000,000,000","Budapest–Belgrade railway is a railway project under construction,at end,people could go from Budapest to Belgrade,and vice versa 200km\h by fast railway.Currently,only Serbia is building Belgrade-Novi Sad Line,which would be completed by October 2021.By 2023,whole Belgrade-Subotica line would be finished,Hungary is set to complete Budapest-Serbian Border by 2023.Project on both sided would cost around $5,000,000,000,with $3,000,000,000 in Serbian side,and $2,000,000,000 on Hungarian one.The Budapest–Belgrade railway is also a part, and first stage, of the planned Budapest–Belgrade–Skopje–Athens railway international connection in Central and Southeast Europe, a Chinese-CEE ""hallmark"" project of Beijing's Belt and Road initiative, connecting the China-run Piraeus port in Greece with the ""heart"" of Europe.Expansion of this project to Nis is under Planing,which would add new $800,000,000 into this project,and new 120-160km\h Railway in Nis-Presevo and Nis-Dimitrovgrad both costing around $200,000,000,and are set to start construction by 2021 and end it by end of 2021 or 2022.It would be build by Russian and Chinese companies."
Budapest–Belgrade Railway,Budapest-Kiskőrös-Kiskunhalas-Kelebia,Under Construction,"$3,900,000,000","Budapest–Belgrade railway is a railway project under construction, at end, people could go from Budapest to Belgrade, and vice versa 200km\h by fast railway. Hungary is set to complete Budapest-Serbian Border by 2023. Project on both sides would cost around $5,000,000,000 with $2,000,000,000 on Hungarian side. The Budapest–Belgrade railway is also a part, and the first stage, of the planned  Budapest–Belgrade–Skopje–Athens Railway international connection in Central and Southeast Europe, a Chinese-CEE ""hallmark"" project of Beijing's Belt and Road initiative, connecting the China-run Piraeus port in Greece with the ""heart"" of Europe.  The expansion of this project to Nis is under Planing, which would add new $800,000,000 into this project, and a new 120-160km\h Railway in Nis-Presevo and Nis-Dimitrovgrad both costing around $200,000,000, and are set to start construction by 2021 and end it by end of 2021 or 2022.  It would be built by Russian and Chinese companies."
Burj Al Arab,Dubai,Completed,"$1,000,000,000","Completed and Opened in 1999, it is the 3rd tallest hotel in the World."
Burj Khalifa,Dubai,Completed,"$1,500,000,000","Originally call the Burj Dubai, the Burj Khalifa is currently the tallest building in the World and has held that title since its Completion and Grand Opening on 4 January 2010."
Business Bay,Dubai,Under Development,"$30,000,000,000","Comprises 240 high and low rise buildings, mostly residential and mixed use skyscrapers."
C.R.E.A.T.E.,"Chicago, Illinois",Under Construction,"$4,600,000,000",C.R.E.A.T.E. is a railway improvement project in Chicago.[110] Completion of the entire project is expected to occur sometime in 2025.
Calgary LRT Expansion,"Calgary, Alberta",Under Construction,"$4,500,000,000+",Set for Completion in 2026.
California High-Speed Rail,"Los Angeles-San Francisco, California",Under Construction,"$70,000,000,000",An 808 mile high-speed rail system is expected to be Completed in phases up to 2030.  Currently some of the funding is being held up in Congress by lack of agreement between Democrats and Republicans.
Cancún,Quintana Roo,Completed,One of main tourist destinations in the world.,
Centenary City,"Abuja, FCT",Under Construction,"$18,000,000,000","Project by the Nigerian Government, Eagle Hills of Abu Dhabi and Julius Berger Nigeria PLC to build a smart city to mark the country's centennial anniversary. Project broke ground on 19 June 2014 and has an anticipated timeline of 10 to 15 years to completion. The city, which is located in the Federal Capital Territory, anticipates over 400,000 residents.[127]"
Central Station to Eveleigh Redevelopment,"Sydney, New South Wales",Proposed,"$10,000,000,000",Extension of Sydney's CBD. The renewal corridor approximately 3 km in length.[116]
Central Transport Hub,Gmina Baranów,In planning,"$8,000,000,000+[107]","The project involves the construction of the largest airport in Poland and one of the largest in Europe, Solidarity Airport (initially able to handle 45 million passengers a year, with the possibility of extension up to 100 millions), along with highway and high-speed rail infrastructure connecting major Polish citities and the airport. Phase 1 scheduled to open in 2027.[107]"
Char Dham Highway,Uttarakhand,Under construction,"$1,500,000,000+","Char Dham Expressway National Highway (Hindi: चार धाम महामार्ग), is an under construction two-lane (in each direction) express National Highway with a minimum width of 10 metres in the state of Uttarakhand. The proposed highway will complement the under development Char Dham Railway by connecting the four holy places in Uttarakhand states includes Badrinath, Kedarnath, Champawat, Pithoragarh, Gangotri and Yamunotri The project includes 900 km national  highways will connect whole of Uttarakhand state."
Chennai-Bengaluru Industrial Corridor,"Area from Chennai to Bengaluru, India",Proposed,,
China–Pakistan Economic Corridor (CPEC),"Area from Kashgar, China to South coast of Pakistan",Under Development,"$62,000,000,000","The project aims to connect Gwadar Port in southwestern Pakistan (Central Asia/South Asia) to China's northwestern (East Asia) autonomous region of Xinjiang, via a network of highways, railways and pipelines to transport oil and gas.[59] The economic corridor is considered central to China–Pakistan relations and will run about 3,000 km from Gwadar to Kashgar. Other than transport infrastructure, the economic corridor will provide Pakistan with telecommunications and energy infrastructure. The project also aims to improve intelligence sharing between the countries."
CityCenter,"Las Vegas, Nevada",Completed,"$11,000,000,000",The largest privately financed development in the United States.
Coastal Highway E39,Trondheim to Kristiansand,In Planning,"$25,000,000,000","The purpose of the project is to replace all the ferry links along the route with fixed connections in order to reduce travel time from 21 hours to 11 hours. The first part, Rogfast is since 2018 under construction at a cost of $1.9 bn, but the rest is controversial and not decided. $40 bn has also been mentioned as a cost and some guess even $50 bn. Some of the fjords are too deep for pillars or undersea tunnels and too wide for suspension bridges, so floating bridges in untested sizes are suggested."
Colombo Harbour Expansion Project,Colombo,Completed,"$1,200,000,000",Construction began in 2008 and completely finished on 8 August 2013.
Colombo Port City,Colombo,Under Construction,"$15,000,000,000","A planned offshore city in Colombo, Sri Lanka which is to be built on reclaimed land adjacent to the Galle Face Green. The city will use construction resources from the  Colombo Harbour Expansion Project, currently under construction near the site of this proposed city.[142]  Set for Completion in 2041."
Comcast Technology Center,"Philadelphia, Pennsylvania",Completed,"$1,500,000,000","Ninth-tallest building in the Western Hemisphere as well as the tallest building in the Western Hemisphere outside of Manhattan and Chicago at a height of 1,121 feet, which opened in 2018."
Confederation Bridge,"The Maritimes, Prince Edward Island",Completed,"$1,300,000,000",The 12.9 km bridge is the longest bridge in the world crossing ice-covered water.
Confederation Line,"Ottawa, Ontario",Completed,"$2,100,000,000",The largest project in Ottawa since the Rideau Canal. Opened in September 2019[109] (Phase 1).
Cornell Tech Campus,"Manhattan, New York City, New York",Under Construction,"$2,000,000,000",Construction began in 2014 on the South end of Roosevelt Island. The first of three phases is set to be completed in stages between 2017 and 2019 and Phase 2 to be Completed sometime later.
Crescent Bay,Karachi,Under Development,"$2,400,000,000","Covering 440,000 meters, Crescent Bay is one of the biggest projects in Pakistan. It is a mixed-use oceanfront development in Karachi. It features multiple high rise buildings, shopping malls, 5-star hotels, and mosques. The project is managed by Emaar properties who built the Burj Khalifa complex in Dubai. This project is one of the most modern projects ever built in Pakistan."
"Crescent Bay, Karachi",Karachi,Under Development,"$2,500,000,000","Crescent Bay is a 108-acre (440,000 m2) under-construction upscale mixed-use oceanfront development in Defence, Karachi, Pakistan. It is considered as one of the biggest projects in Pakistan.
The development feature's a series of high and mid-rise towers for residential and commercial use, a shopping centre, a five-star beachfront hotel and a tower located in the heart of the project. The development includes approximately 4,000 residential apartments."
Crescent Corridor Expansion,Eastern Coast States-East South Central States-Gulf Coast States,Under Construction,"$2,500,000,000","The freight rail company Norfolk Southern will utilize special intermodal trains on its freight rail network running from New York to Louisiana.  This project covers 2,500 miles and thirteen states, and is expected to be fully developed by 2020.""[111]"
Cross River Rail,"Brisbane, Queensland",Under Construction,"$5,400,000,000","To be completed in 2024. The crossing will be a tunnel under the river, and the first rail-only Brisbane River crossing since the completion of the Merivale Bridge in 1978.[113]"
Crowchild Trail Upgrades,"Calgary, Alberta",Under Construction,"$3,000,000,000+",Set for Completion in 2030
CTBA – Madrid Financial District,Madrid,Completed,"est. $1,000,000,000","A complex of four skyscrapers, each about 240 metres high, located on one of Madrid's most expensive avenue, La Castellana. The towers were built on Real Madrid's former Ciudad Deportiva, and were completed in 2008. The tallest building is Torre Cepsa, designed by world-famous architect Norman Foster, and has a height of 249 meters, making it Spain's tallest structure."
Danube-Morava-Vardar-Aegean Canal,"Serbia,North Macedonia,Greece",In Planning,"around $15,000,000,000","The Danube-Morava-Vardar-Aegean Canal is in planning for a very long time, significant progress has been  made in 2013 and 2014, with China having interests in building a cannal, project would cost around $15,000,000,000.Serbia is most interested country in building this project, which would make Great Morava and South Morava pass-able for boats from Thessaloniki. There would be many HydroPower plants, and 9 ports in Jagodina, Stalać, Kruševac, Kraljevo, Niš, Leskovac, Vranje,Kumanovo and Skopje. It would connect new rivers into three main rivers, and make Morava and Vardar navigable rivers, and clean them for passage of boats. It was main theme in Thessaloniki summit in January 2020, when all three leaders met.[93]"
Danube-Morava-Vardar-Aegean Canal,Serbia-Macedonia-Greece,In Planning,"$17,000,000,000","The Danube-Morava-Vardar-Aegean Canal is in planing for a very long time, significant progress has been  made in 2013 and 2014,with China having interests in building a cannal,project would cost around $17,000,000,000. Serbia is most interested country in building this project,which would make Great Morava and South Morava pass-able for boats from Thessaloniki. There would be many HydroPower plants as well as 9 ports in Jagodina, Stalać, Kruševac, Kraljevo, Niš, Leskovac, Vranje, Kumanovo and Skopje. It would connect new rivers into three main rivers,and make Morava and Vardar navigable rivers,and clean them for passage of boats.It was main theme in Thessaloniki summit in january 2020,when all three leaders met.[172]"
Delhi Mumbai Industrial Corridor,"Area from Delhi to Mumbai, India",Under Construction,"$90,000,000,000","Conceived as a global manufacturing and trading hub, the project is expected to double employment potential, triple industrial output and quadruple exports from the region in five years. The total employment to be generated from the project is 3 million, the bulk of which will be in the manufacturing/processing sectors. The project initially aims to create seven smart cities distributed along the backbone of the dedicated freight corridor between Delhi and Mumbai.  Completion of the Corridor is expected for 2037."
Delhi–Mumbai Industrial Corridor Project,Multiplte States in India,Under construction,"$1,000,000,000+","One of the world's largest infrastructure projects with an estimated investment of US$90 billion and is planned as a high-tech industrial zone spread across six states,[66] as well as Delhi, the national capital and itself a Union Territory.[67] The investments will be spread across the 1,500 km long Western Dedicated Freight Corridor which will serve as the industrial corridor's transportation backbone.[68]"
Delta Works,Southwest Middelburg to Dordrecht,Completed,"$13,000,000,000",A series of construction projects in the southwest of the Netherlands to protect a large area of land around the Rhine-Meuse-Scheldt delta from the sea. The project was proposed after the North Sea Flood of 1953.
"DHA City, Karachi (DCK)",Karachi,Under Development,"The green and sustainable city is to be built on a 4,700 hectares piece of virgin land located several kilometres northeast of Karachi.[136] Upon completion, the new city which is still under development is anticipating at least 250,000 residents and a daily flow of 50,000 commuters.[137]",
Diamer-Bhasha Dam,"Khyber Pakhtunkhwa
Gilgit-Baltistan","style=""background:#FFB;vertical-align:middle;text-align:center; "" class=""table-partial""| Under Construction","$14,000,000,000","Diamer-Bhasha Dam is a concreted-filled gravity dam, in the preliminary stages of construction, on the River Indus between Kohistan district in Khyber Pakhtunkhwa and Diamer district in Gilgit Baltistan. The dam site is situated near a place called ""Bhasha"", hence the name which is 40Km downstream of Chilas town and 315Km from Tarbela Dam. The eight million acre feet (MAF) reservoir with 272-metre height will be the tallest roller compact concrete (RCC) dam in the world.
Upon completion, Diamer-Bhasha dam would produce (i) 4800 megawatts of electricity through hydro-power generation; (ii) store an extra 10.5 cubic kilometres (8,500,000 acre⋅ft) of water for Pakistan that would be used for irrigation and drinking; (iii) extend the life of Tarbela Dam located downstream by 35 years; and (iv) control flood damage by the River Indus downstream during high floods.It will Complete in 2028 at a cost of 14 Billion USD."
Doha Metro,Doha,Under Construction,"$36,000,000,000",Set for Full Completion sometime in 2026 and stretch 300 km.
Dos Bocas Refinery,Tabasco,Under Construction,,
Downtown Markham,"Markham, Ontario",Under Construction,"$4,000,000,000",One of the many city center projects in York Region.  Scheduled for Completion in 2025.
Dubai International City,Dubai,Under Construction,"$95,000,000,000","A country-themed architecture of residences, business, and tourist attractions."
Dubai Marina,Dubai,Completed,"World's largest man-made marina, with 200 residential and hotel high rises.",
Dubai Marina,Dubai,Completed,"World's largest man-made marina, with 200 residential and hotel high rises.",
Dubai Meydan City,Dubai,Under Construction,"$2,200,000,000",Expected Completion date about 2020.
Dubai Waterfront,Dubai,Under Development,Expected to become the largest waterfront and largest man-made development in the world.,
Dubai Waterfront,Dubai,Suspended,Expected to become the largest waterfront and largest man-made development in the world.,
Dubailand,Dubai,Under Construction,"$64,300,000,000","Will be world's largest Retail and Entertainment World, twice the size of Walt Disney World Resort, it include 45 mega projects and 200 sub projects. Currently, there are 22 projects under development.  Expected Completion Date about 2025."
Durango-Mazatlán Highway,Durango-Sinaloa,Completed,"$1,400,000,000","Construction in 2008 and was completed in 2012.  Upon this projects completion, President Felipe Calderón received a Guinness record certifying that the Baluarte Bicentennial Bridge is the highest suspension bridge in western Mexico."
Eastwood City,Quezon City,Completed,A high-density mixed-use development.,
Egnatia Odos,Greece,Completed,"$6,690,000,000","Construction began in 1995, and a total of 670 kilometres (420 mi) of motorways running along the general route of the ancient Roman Via Egnatia.[99] It runs from Igoumenitsa, in Epirus, crosses Western Macedonia, Central Macedonia, and ends on Greece's border with Turkey in Eastern Macedonia and Thrace. The project cost €5.93 billion.[99]"
Egnatia Railway,Greece,In planning,"$11,270,000,000","Proposed in 2017 at a cost of €10 billion,[100] the Egnatia Railway will be Europe's largest railway megaproject.[101] The original stated start date was March 2019.[100]"
Eko Atlantic,Lagos State,Under Construction,"$6,000,000,000","A planned city of Lagos State, Nigeria, being constructed on land reclaimed from the Atlantic Ocean. The project broke ground in 2007 and is being spearheaded by South Energyx Nigeria Ltd. Upon completion the project anticipates at least 250,000 residents and an additional daily flow of 150,000 commuters.[128]"
Electric Train of The Great Metropolitan Area,,,,
Embassy Gardens,"London, England",Completed,"$2,900,000,000",Completed in Spring to Summer 2019.
Encore Boston Harbor,"Everett, Massachusetts",Completed,"$2,500,000,000","Opened in 2019, the casino resort property is the largest single private development in Massachusetts history."
Entertainment City,Manila Bay,Under Development,"$15,000,000,000",An entertainment complex which is intended to be the Philippine counterpart of Macau and Las Vegas. It is built upon reclaimed land along Manila Bay.
Esplanada City Center,Bucharest,Cancelled,"$4,200,000,000",
Europa City,Gonesse,Cancelled,"$3,400,000,000",Construction began on the 8.6-million-square foot mixed-use development north of downtown in 2016 but was cancelled on 8 November 2019.
Evergreen Point Floating Bridge (2016),"Seattle, Washington",Completed,"$4,560,000,000","This 7,710-foot-long floating bridge is the longest of its type in the world. The new SR 520 bridge replaced the previous record-holder, the original Evergreen Point Floating Bridge across Lake Washington, connecting Seattle to points east. The new structure, rising 20 feet above the water, opened to traffic in spring 2016."
Falconcity of Wonders,Dubai,Under Development,"$36,500,000,000",
Felipe Ángeles Airport,Mexico City,Under Construction,"$7,100,000,000",Being built at the Santa Lucía Air Force Base north of Mexico City and named after Mexican General  Felipe Ángeles Ramírez
FESTAC Phase 2,"Lagos, Lagos State",Under Development,"$2,400,000,000","In 2014, The Ministry of Housing and Urban Development signed deal with the New Festac Property Development Company, to develop the second phase of Festac Town. Since the award, the company has been carrying out extensive preliminary project development activities including surveys, field studies, site investigation, environmental impact assessment, and town planning for the project.[129]"
Forest City,Johor Bahru,Under Construction,"$100,000,000,000",To Be Completed in 2035.
Fourth Mainland Bridge,"Ikorodu to Lekki, Lagos State",Under Development,"$4,200,000,000",The fourth mainland bridge will join three other bridges connecting the Island of Lagos to the mainland. The 38 km bridge and expressway will become the longest bridge and expressway in the world when completed.[54]
Galala City,Suez Governorate,Under Construction,"$63,000,000,000",Construction began in March–April 2018 spread out in phases with the 1st phase set for completion in June 2020.[119]
Generation Park,"Houston, Texas",Under Construction,"$10,000,000,000+","A 4,200 acre privately owned and master-planned commercial development 20-minutes from Downtown Houston. The project broke ground in 2014 with TechnipFMC's 173-acre corporate campus[157]. Generation Park is owned and developed by McCord."
